Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2021-10-08,Virginia,Foxx,"US Congressman",GLAXF,"Gsk Plc",8000,Buy,"As ADR/ADS but shown as Ord equivalentt. Traded $1,001 To $15,000 ."
2021-10-08,Michael,Mccaul,"US Congressman",LIN,"Linde Plc",65001,Buy,"By Spouse And Dependent Child.Traded $30,002 To $100,000 ."
2021-10-08,Michael,Mccaul,"US Congressman",KDP,"Keurig Dr Pepp",65001,Buy,"By Spouse And Dependent Child.Traded $30,002 To $100,000 ."
2021-10-08,Diana,Harshbarger,"US Congressman",LYB,Lyondellbasell,32002,Sell,"By Congressman & Spouse. Traded $4,004 To $60,000 ."
2021-10-08,Rohit,Khanna,"US Congressman",HBI,"Hanesbrands In",16001,Buy,"By Spouse & Dependent Child. Traded $2,002 to $30,000 ."
2021-10-08,Richard,Blumenthal,"US Senator",OLO,"Olo Inc Cl A",40501,Sell,"By Director And Spouse. Traded $16,002 To $65,000 "
2021-10-08,Virginia,Foxx,"US Congressman",VIA,"Via Renewables",8000,Buy,"Traded $1,001 to $15,000 ."
2021-10-07,Richard,Allen,"US Congressman",FCX,Freeport-Mcmor,32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",SKX,"Skechers U.S.A",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",DOCU,"Docusign Inc",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",CCEP,"Coca-Cola Euro",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",EHC,"Encompass Heal",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",CFG,"Citizens Finan",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",CIEN,"Ciena Corp",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",SCCO,"Southern Coppe",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",UA,"Under Armour I",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",ULTA,"Ulta Beauty In",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",DECK,"Deckers Outdoo",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",AYI,"Acuity Brands ",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",XRAY,"Dentsply Siron",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",TAP,"Molson Coors B",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",CHD,"Church & Dwigh",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-10-07,Rohit,Khanna,"US Congressman",ST,"Sensata Techno",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
