Date,Politician,"Last Name",Chamber,Symbol,Name,"Trans Total<sup>*</sup>",Trans,Notes
2022-01-07,Rohit,Khanna,"US Congressman",NVDA,"Nvidia Corp",8000,Sell,"By Dependent Child. Traded $1,001 To $15,000 . Exact trade date is not visible in the filing, so assuming the date as end of month."
2022-01-07,Rohit,Khanna,"US Congressman",V,"Visa Inc",8000,Sell,"By Dependent Child. Traded $1,001 to $15,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",AMT,"American Tower",8000,Buy,"By Dependent Child.Traded $1,001 To $15,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",AXP,"American Expre",8000,Buy,"By Dependent Child.Traded $1,001 To $15,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",WDAY,"Workday Inc",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",CSCO,"Cisco Systems ",8000,Buy,"By Dependent Child.Traded $1,001 To $15,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",MTCH,"Match Group In",75000,Buy,"By Spouse. Traded $50,001 To $100,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",NFLX,"Netflix Inc",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",SNAP,"Snap Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",ALGN,"Align Technolo",8000,Sell,"By Spouse. Traded $1,001 To $15,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",ILMN,"Illumina Inc",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",PYPL,"Paypal Holding",32500,Buy,"By Spouse. Traded $50,001 To $100,000 ."
2022-01-07,Rohit,Khanna,"US Congressman",V,"Visa Inc",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-01-07,Michael,Mccaul,"US Congressman",DGX,"Quest Diagnost",65001,Sell,"By Spouse & Dependent Child. Traded $30,002 To $100,000 ."
2022-01-07,Michael,Mccaul,"US Congressman",FI,"Fiserv Inc",16001,Sell,"By Spouse & Dependent Child. Traded $2,002 To $30,000 ."
2022-01-07,Michael,Mccaul,"US Congressman",FI,"Fiserv Inc",81002,Buy,"By Spouse & Dependent Child. Traded $32,004 to $130,000 ."
2022-01-07,James,Langevin,"US Congressman",BABAF,"Alibaba Group ",8000,Buy,"Purchase Of Call Options With Strike Price $126 And Expiry 07-January-2022. Traded $1,001 To $15,000 "
2022-01-07,Patrick,Fallon,"US Congressman",VZ,"Verizon Commun",375000,Sell,"Traded $250,001 to $500,000 "
2022-01-07,Kevin,Hern,"US Congressman",INRE,"Inland Real Es",8000,"Div Re","Traded $1,001 to $15,000 ."
2022-01-07,Michael,Burgess,"US Congressman",ABT,"Abbott Laborat",8000,Sell,"Traded $1,001 to $15,000 ."
2022-01-07,Diana,Harshbarger,"US Congressman",C,"Citigroup Inc",5000,Sell,"By Director And Spouse.Traded $4,001 To $60,000 "
2022-01-07,Alan,Lowenthal,"US Congressman",JBI,"Janus Internat",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-01-07,Thomas,Suozzi,"US Congressman",TJX,"TJX Companies",32500,Sell,"Traded $15,001 to $50,000 ."
2022-01-07,Thomas,Suozzi,"US Congressman",SYY,"Sysco Corp",32500,Sell,"Traded $15,001 to $50,000 ."
2022-01-07,Thomas,Suozzi,"US Congressman",SLB,"Schlumberger N",32500,Sell,"Traded $15,001 to $50,000 ."
2022-01-07,Thomas,Suozzi,"US Congressman",MS,"Morgan Stanley",75000,Sell,"Traded $50,001 to $100,000 ."
2022-01-07,Thomas,Suozzi,"US Congressman",DOW,"Dow Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2022-01-07,Thomas,Suozzi,"US Congressman",DG,"Dollar General",75000,Sell,"Traded $50,001 to $100,000 ."
2022-01-06,Nicole,Malliotakis,"US Congressman",T,"AT&T Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2022-01-06,Richard,Larsen,"US Congressman",UNH,"Unitedhealth G",8000,Buy,"Traded $1,001 to $15,000 ."
2022-01-06,Richard,Larsen,"US Congressman",SYK,"Stryker Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2022-01-06,Richard,Larsen,"US Congressman",FAST,"Fastenal Compa",8000,Sell,"Traded $1,001 to $15,000 ."
2022-01-06,Michael,Mccaul,"US Congressman",CNHI,"CNH Industrial",207501,Sell,"By Spouse & Dependent Child. Traded $115,002 To $300,000 ."
2022-01-06,Susan,Collins,"US Senator",AMZN,"Amazon.com Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2022-01-06,Susan,Collins,"US Senator",LIN,"Linde Plc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2022-01-06,Susan,Collins,"US Senator",NVDA,"Nvidia Corp",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2022-01-06,Susan,Collins,"US Senator",HSIC,"Henry Schein I",32500,Buy,"By Spouse. Traded $15,001 To $50,000 "
2022-01-06,Susan,Collins,"US Senator",CARR,"Carrier Global",8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
2022-01-06,Susan,Collins,"US Senator",OTIS,"Otis Worldwide",8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
2022-01-06,Susan,Collins,"US Senator",VFC,"V.F. Corp",8000,Sell,"By Spouse. Traded $1,001 to $15,000 "
2022-01-06,Susan,Collins,"US Senator",WEX,"Wex Inc",32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2022-01-06,Virginia,Foxx,"US Congressman",OLP,"One Liberty Pr",8000,Buy,"Traded $1,001 to $15,000 "
2022-01-06,Walter,Schrader,"US Congressman",AAPL,"Apple Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2022-01-06,Walter,Schrader,"US Congressman",IQV,"Iqvia Holdings",8000,Sell,"Traded $1,001 to $15,000 "
2022-01-06,Walter,Schrader,"US Congressman",NOW,"Servicenow Inc",8000,Sell,"Traded $1,001 to $15,000 "
2022-01-06,Walter,Schrader,"US Congressman",V,"Visa Inc",8000,Sell,"Traded $1,001 to $15,000 "
2022-01-06,Walter,Schrader,"US Congressman",ZTS,"Zoetis Inc Cl ",8000,Sell,"Traded $1,001 to $15,000 ."
2022-01-06,Walter,Schrader,"US Congressman",UNP,"Union Pacific ",8000,Sell,"Traded $1,001 to $15,000 "
2022-01-06,Walter,Schrader,"US Congressman",MSFT,"Microsoft Corp",8000,Sell,"Traded $1,001 to $15,000 "
2022-01-06,Mark,Green,"US Congressman",USAC,"USA Compressio",175000,Buy,"Traded $100,001 to $250,000 ."
2022-01-06,Mark,Green,"US Congressman",SRLP,"Sprague Resour",375000,Buy,"Traded $250,001 to $500,000 "
2022-01-06,Mark,Green,"US Congressman",PAA,"Plains All Ame",750000,Sell,"Traded $500,001 to $1,000,000 "
2022-01-06,Mark,Green,"US Congressman",PBFX,"PBF Logistics ",175000,Buy,"Traded $100,001 to $250,000 "
2022-01-06,Mark,Green,"US Congressman",NGL,"Ngl Energy Par",75000,Buy,"Traded $50,001 to $100,000 "
2022-01-06,Mark,Green,"US Congressman",KNOP,"Knot Offshore ",75000,Buy,"Traded $50,001 to $100,000 "
2022-01-06,Mark,Green,"US Congressman",ENLC,"Enlink Midstre",750000,Sell,"Traded $500,001 to $1,000,000 "
2022-01-06,Mark,Green,"US Congressman",AM,"Antero Midstre",375000,Buy,"Traded $250,001 to $500,000 "
2022-01-06,David,Kustoff,"US Congressman",ROKU,"Roku Inc",32500,Sell,"Traded $15,001 to $50,000 "
2022-01-06,Robert,Gibbs,"US Congressman",TGT,"Target Corp",32500,Buy,"Traded $15,001 to $50,000 ."
2022-01-05,Rohit,Khanna,"US Congressman",MNDT,"Mandiant Inc",8000,Buy,"By Dependent Child. Traded $1,001 To $15,000 ."
2022-01-05,Michael,Mccaul,"US Congressman",AAP,"Advance Auto P",250001,Sell,"By Spouse & Dependent Child. Traded $150,002 To $350,000 ."
2022-01-05,Michael,Mccaul,"US Congressman",CNHI,"CNH Industrial",207501,Sell,"By Spouse & Dependent Child. Traded $115,002 To $300,000 ."
2022-01-05,Michael,Mccaul,"US Congressman",PM,"Philip Morris ",250001,Buy,"By Spouse & Dependent Child. Traded $150,002 To $350,000 ."
2022-01-05,Michael,Mccaul,"US Congressman",T,"AT&T Inc",550001,Buy,"By Spouse & Dependent Child.Traded $350,002 To $750,000 ."
2022-01-05,Frederick,Upton,"US Congressman",NFLX,"Netflix Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2022-01-05,Frederick,Upton,"US Congressman",COP,Conocophillips,8000,Buy,"Traded $1,001 to $15,000 ."
2022-01-05,Thomas,Tuberville,"US Senator",INTC,"Intel Corp",16000,Sell,"Sale Of Put Options With Strike Price $52.50 And Expiry 16-September-2022. Traded $2,001 To $30,000. "
2022-01-05,Robert,Wittman,"US Congressman",SPY,"S&P 500 SPDR",8000,Sell,"Traded $1,001 to $15,000 ."
2022-01-05,Walter,Schrader,"US Congressman",ROST,"Ross Stores In",8000,Sell,"Traded $1,001 to $15,000 "
2022-01-05,James,Langevin,"US Congressman",PYPL,"Paypal Holding",75000,Buy,"Traded $50,001 to $100,000 "
2022-01-05,Virginia,Foxx,"US Congressman",MSFT,"Microsoft Corp",32500,Buy,"Traded $15,001 to $50,000 "
2022-01-04,Rohit,Khanna,"US Congressman",HLF,"Herbalife Ltd",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-01-04,Rohit,Khanna,"US Congressman",CLX,"Clorox Company",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-01-04,Rohit,Khanna,"US Congressman",LW,"Lamb Weston Ho",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2022-01-04,Rohit,Khanna,"US Congressman",DOCU,"Docusign Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2022-01-04,Rohit,Khanna,"US Congressman",ABBV,"Abbvie Inc",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2022-01-04,Michael,Mccaul,"US Congressman",AON,"AON Plc",107501,Sell,"By Spouse & Dependent Child. Traded $65,002 To $150,000 ."
2022-01-04,Joshua,Gottheimer,"US Congressman",SYNH,"Syneos Health ",8000,Sell,"Traded $1,001 to $15,000 "
2022-01-04,John,Boozman,"US Senator",SLV,"Silver Trust I",8000,Buy,"Traded $1,001 to $15,000 "
2022-01-04,Marie,Newman,"US Congressman",GBTC,"Grayscale Bitc",8000,Buy,"Traded $1,001 to $15,000 ."
2022-01-04,Marie,Newman,"US Congressman",COIN,"Coinbase Globa",8000,Buy,"Traded $1,001 to $15,000 "
2022-01-04,James,Langevin,"US Congressman",ZG,"Zillow Grp Inc",8000,Buy,"Purchase Of Call Options With Strike Price $60 And Expiry 18-February-2022. Traded $1,001 To $15,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2022-01-04,James,Langevin,"US Congressman",GNRC,"Generac Holdin",24002,Buy,"Purchase Of Call Options With Strike Price $320 And Expiry 18-February-2022. Traded $3,003 To $45,000, As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
2022-01-04,Diana,Harshbarger,"US Congressman",RS,"Reliance Inc",24000,Sell,"By Director And Spouse.Traded $3,001 To $45,000 ."
2022-01-03,Michael,"San Nicolas","US Congressman",SHOP,"Shopify Inc",375000,Buy,"Purchase To Close Short Sale. Traded $250,001 to $500,000 ."
2022-01-03,Rohit,Khanna,"US Congressman",GOOGL,"Alphabet Cl A",32500,Sell,"By Spouse. Traded $15,001 To $50,000 ."
2022-01-03,Thomas,Tuberville,"US Senator",SSYS,"Stratasys Ltd",32000,Sell,"Sale Of Short Sale With Strike Price $25.00 And Expiry 17-June-2022. Traded $4,001 To $60,000. "
2022-01-03,Virginia,Foxx,"US Congressman",PPL,"PPL Corp",8000,Buy,"Traded $1,001 to $15,000 "
2022-01-03,Virginia,Foxx,"US Congressman",MSI,"Motorola Solut",32500,Buy,"Traded $15,001 to $50,000 "
2022-01-03,Virginia,Foxx,"US Congressman",FHLC,"Fidelity Healt",32500,Buy,"Traded $15,001 to $50,000 "
2022-01-03,Virginia,Foxx,"US Congressman",CAG,"Conagra Brands",32500,Buy,"Traded $15,001 to $50,000 "
2022-01-03,Virginia,Foxx,"US Congressman",AVGO,"Broadcom Ltd",32500,Buy,"Traded $15,001 to $50,000 ."
2022-01-03,Diana,Harshbarger,"US Congressman",SEE,"Sealed Air Cor",24000,Sell,"By Director And Spouse.Traded $3,001 To $45,000 "
2022-01-03,Diana,Harshbarger,"US Congressman",RS,"Reliance Inc",32000,Sell,"By Director And Spouse.Traded $4,001 To $60,000 ."
2022-01-03,Diana,Harshbarger,"US Congressman",HD,"Home Depot",16000,Sell,"Traded $2,001 To $30,000 "
2022-01-03,Diana,Harshbarger,"US Congressman",CME,"CME Group Inc",24000,Sell,"By Director And Spouse. Traded $3,001 To $45,000 "
2022-01-03,Diana,Harshbarger,"US Congressman",C,"Citigroup Inc",32000,Sell,"By Director And Spouse.Traded $4,001 To $60,000 "
2022-01-03,Diana,Harshbarger,"US Congressman",SUI,"Sun Communitie",8000,Buy,"Traded $1,001 to $15,000 "
2022-01-03,Gary,Peters,"US Senator",IBM,"International ",8000,Buy,"Traded $1,001 to $15,000 "
2021-12-31,Rohit,Khanna,"US Congressman",MSFT,"Microsoft Corp",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-12-31,Rohit,Khanna,"US Congressman",INFO,"IHS Markit Ltd",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2021-12-31,Rohit,Khanna,"US Congressman",NFLX,"Netflix Inc",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2021-12-31,Kathy,Manning,"US Congressman",SNAP,"Snap Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2021-12-31,Kathy,Manning,"US Congressman",PYPL,"Paypal Holding",8000,Buy,"Traded $1,001 to $15,000 ."
2021-12-31,Kathy,Manning,"US Congressman",NFLX,"Netflix Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2021-12-31,Kathy,Manning,"US Congressman",MSFT,"Microsoft Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2021-12-31,Kathy,Manning,"US Congressman",INFO,"IHS Markit Ltd",32500,Sell,"Traded $15,001 to $50,000 ."
2021-12-31,Marie,Newman,"US Congressman",AAPL,"Apple Inc",32500,Sell,"By Spouse.Traded $15,001 To $50,000 ."
